Type,Publish,Authority ID,Source,Rules,ORIGINAL,Primary Part of Name,Subordinate Name 1,Subordinate Name 2,Number,Dates,Qualifier
corpname,TRUE,,lcnaf,,Ann Arbor (Mich. : Township),Ann Arbor,,,,,Mich. : Township
corpname,TRUE,,lcnaf,,Ann Arbor Art Association.,Ann Arbor Art Association,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Anti-Substance Abuse Task Force.,Ann Arbor Anti-Substance Abuse Task Force,,,,,
corpname,TRUE,,lcnaf,,University of Michigan. Academics for Affirmative Action and Social Justice.,University of Michigan,Academics for Affirmative Action and Social Justice,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Book Festival.,Ann Arbor Book Festival,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Community Center.,Ann Arbor Community Center,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Chamber of Commerce.,Ann Arbor Chamber of Commerce,,,,,
corpname,TRUE,,lcnaf,,"Ann Arbor Charter Commission (Ann Arbor, Mich. : 1953-1955)",Ann Arbor Charter Commission,,,,,"Ann Arbor, Mich. : 1953-1955"
corpname,TRUE,,lcnaf,,"Ann Arbor (Mich.). City Engineer's Office, Collector",Ann Arbor (Mich.),"City Engineer's Office, Collector",,,,
corpname,TRUE,,lcnaf,,Ann Arbor Cooperative Society,Ann Arbor Cooperative Society,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Dance Theatre.,Ann Arbor Dance Theatre,,,,,
corpname,TRUE,,lcnaf,,"Democratic Party (Ann Arbor, Mich.)",Democratic Party,,,,,"Ann Arbor, Mich."
corpname,TRUE,,lcnaf,,Ann Arbor Film Festival.,Ann Arbor Film Festival,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor (Mich.). Fire Department.,Ann Arbor (Mich.),Fire Department,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Garden Club.,Ann Arbor Garden Club,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor Golf and Outing Club.,Ann Arbor Golf and Outing Club,,,,,
corpname,TRUE,,lcnaf,,Ann Arbor (Mich.),Ann Arbor (Mich.),,,,,
