original name,prefix,title,primary,secondary,suffix,number,fuller form,dates, ,source
"Allen, D. C., collector.",,,Allen,D. C.,collector,,,,,lcnaf
"Barnett, Leroy, collector.",,,Barnett,Leroy,collector,,,,,lcnaf
"Blum, Nancy, collector",,,Blum,Nancy,collector,,,,,lcnaf
"Breylinger, Barbe Ballard, collector.",,,Breylinger,Barbe Ballard,collector,,,,,lcnaf
"Burt, Flora, collector.",,,Burt,Flora,collector,,,,,lcnaf
"Chaplin, Scott, collector.",,,Chaplin,Scott,collector,,,,,lcnaf
"Cope, Helen Gibson, collector",,,Cope,Helen Gibson,collector,,,,,lcnaf
"De La Vergne, Earl W., collector.",,,De La Vergne,Earl W.,collector,,,,,lcnaf
"Fay, Minnie C. M., collector.",,,Fay,Minnie C. M.,collector,,,,,lcnaf
"Foster, Mark, collector.",,,Foster,Mark,collector,,,,,lcnaf
"Frederickson, Randa, collector.",,,Frederickson,Randa,collector,,,,,lcnaf
"Frisbie, Nora G., collector.",,,Frisbie,Nora G.,collector,,,,,lcnaf
"Harriman, John, collector.",,,Harriman,John,collector,,,,,lcnaf
"Heath, Alex, collector.",,,Heath,Alex,collector,,,,,lcnaf
"Knowles, Margaret Keal, collector.",,,Knowles,Margaret Keal,collector,,,,,lcnaf
"Lemmer, Elizabeth, collector.",,,Lemmer,Elizabeth,collector,,,,,lcnaf
"Leslie, Dale R., collector",,,Leslie,Dale R.,collector,,,,,lcnaf
"Loughray, John J., collector",,,Loughray,John J.,collector,,,,,lcnaf
"Martin, Edward, collector.",,,Martin,Edward,collector,,,,,lcnaf
"Mullett, Martha, collector.",,,Mullett,Martha,collector,,,,,lcnaf
"Owen, Norman G., collector.",,,Owen,Norman G.,collector,,,,,lcnaf
"Palazzolo, Laurie, collector.",,,Palazzolo,Laurie,collector,,,,,lcnaf
"Peters, Kenneth Earl, collector.",,,Peters,Kenneth Earl,collector,,,,,lcnaf
"Proctor, Hazel, collector.",,,Proctor,Hazel,collector,,,,,lcnaf
"Shurtleff, Mary Belle, collector",,,Shurtleff,Mary Belle,collector,,,,,lcnaf
"Sink, Charles A., collector.",,,Sink,Charles A.,collector,,,,,lcnaf
"Sturgis, Sam, collector",,,Sturgis,Sam,collector,,,,,lcnaf
"Swihart, Leon R., collector.",,,Swihart,Leon R.,collector,,,,,lcnaf
"Tsao, Makepeace Uho, collector",,,Tsao,Makepeace Uho,collector,,,,,lcnaf
"Wolfe, Shirley P., collector.",,,Wolfe,Shirley P.,collector,,,,,lcnaf
"Blodgett, John W., Jr.",,,Blodgett,John W.,Jr,,,,,lcnaf
"Cockrel, Kenneth, Jr.",,,Cockrel,Kenneth,Jr,,,,,lcnaf
"King, Martin Luther, Jr.",,,King,Martin Luther,Jr,,,,,lcnaf
"Lloyd, William B., Jr.",,,Lloyd,William B.,Jr,,,,,lcnaf
"Price, William George, Jr.",,,Price,William George,Jr,,,,,lcnaf
"Riegle, Donald W., Jr.",,,Riegle,Donald W.,Jr,,,,,lcnaf
"Smith, Charles S. (Charles Spencer), Jr.",,,Smith,Charles S.,Jr,,Charles Spencer,,,lcnaf
"Saint Lusson, Simon François Daumont, sieur de, fl. 17th cent.",,,Saint Lusson,Simon François Daumont,"sieur de, fl. 17th cent",,,,,lcnaf
"Kessenich, Michiels van, baron.",,Baron,Kessenich,Michiels van,,,,,,lcnaf
"Bonnaud, A., Madame.",,Madame,Bonnaud,A.,,,,,,lcnaf
Anonymous officer of the Association of Suburban People.,,officer of the,People,Anonymous Association of Suburban,,,,,,lcnaf
"Der Ling, Princess.",,Princess,,Der Ling,,,,,http://id.loc.gov/authorities/names/n50005213,lcnaf
"Gordon, Archibald, Sir.",,Sir,Gordon,Archibald,,,,,,lcnaf
"Baker, Frank C., Mrs.",Mrs.,,Baker,Frank C.,,,,,,lcnaf
"Ehlers, John, Mrs.",Mrs.,,Ehlers,John,,,,,,lcnaf
"Hartzell, Morton C., Mrs.",Mrs.,,Hartzell,Morton C.,,,,,,lcnaf
"Keeler, Hugh Blenn, Mrs.",Mrs.,,Keeler,Hugh Blenn,,,,,,lcnaf
"Lanier, Charles D., Mrs.",Mrs.,,Lanier,Charles D.,,,,,,lcnaf
"McCoy, Robbie, Mrs.",Mrs.,,McCoy,Robbie,,,,,,lcnaf
"Pope, Ira Greer, Mrs.",Mrs.,,Pope,Ira Greer,,,,,,lcnaf
"Stanley, David, Mrs.",Mrs.,,Stanley,David,,,,,,lcnaf
"Taylor, Howell, Mrs.",Mrs.,,Taylor,Howell,,,,,,lcnaf
"Walker, Chester, Mrs.",Mrs.,,Walker,Chester,,,,,,lcnaf
"Williams, G. Mennen, Mrs.",Mrs.,,Williams,G. Mennen,,,,,http://id.loc.gov/authorities/names/n80070288,lcnaf
"Abbitt, W. H.",,,Abbitt,W. H,,,,,,lcnaf
"Abbott, Bud.",,,Abbott,Bud,,,,,,lcnaf
"Abbott, Donald Putnam.",,,Abbott,Donald Putnam,,,,,http://id.loc.gov/authorities/names/n81042314,lcnaf
"Abbott, James.",,,Abbott,James,,,,,,lcnaf
"Abdel-Massih, Ernest T.",,,Abdel-Massih,Ernest T,,,,,http://id.loc.gov/authorities/names/n50034811,lcnaf
"Aberbach, Joel D.",,,Aberbach,Joel D,,,,,http://id.loc.gov/authorities/names/n81028152,lcnaf
"Abraham, Nabeel.",,,Abraham,Nabeel,,,,,http://id.loc.gov/authorities/names/n82042224,lcnaf
"Abrams, Alan E.",,,Abrams,Alan E,,,,,http://id.loc.gov/authorities/names/n79036572,lcnaf
"Abu Ayn, Ziyad.",,,Abu Ayn,Ziyad,,,,,,lcnaf
"Acheson, Phyllis.",,,Acheson,Phyllis,,,,,,lcnaf
"Ackley, Gardner.",,,Ackley,Gardner,,,,,http://id.loc.gov/authorities/names/n50036889,lcnaf
"Acton, Hugh.",,,Acton,Hugh,,,,,,lcnaf
"Adams, Adeline B.",,,Adams,Adeline B,,,,,,lcnaf
"Adams, Bertha H. Wright.",,,Adams,Bertha H. Wright,,,,,,lcnaf
"Adams, Elizabeth S.",,,Adams,Elizabeth S,,,,,,lcnaf
"Adams, Evyn.",,,Adams,Evyn,,,,,,lcnaf
"Adams, Henry Foster.",,,Adams,Henry Foster,,,,,http://id.loc.gov/authorities/names/n85058461,lcnaf
"Adams, James Patrick.",,,Adams,James Patrick,,,,,,lcnaf
"Adams, Jayno W.",,,Adams,Jayno W,,,,,,lcnaf
"Adams, R. C.",,,Adams,R. C,,,,,,lcnaf
"Adams, Wilbur Christopher.",,,Adams,Wilbur Christopher,,,,,,lcnaf
"Adamson, Thomas Charles.",,,Adamson,Thomas Charles,,,,,http://id.loc.gov/authorities/names/n81019954,lcnaf
"Adamus, Greg.",,,Adamus,Greg,,,,,,lcnaf
"Adenauer, Paul.",,,Adenauer,Paul,,,,,,lcnaf
"Adler, Morris.",,,Adler,Morris,,,,,http://id.loc.gov/authorities/names/nr89010045,lcnaf
"Adler, O.",,,Adler,O,,,,,,lcnaf
"Agasid, Napoleon.",,,Agasid,Napoleon,,,,,,lcnaf
"Agassiz, Mabel.",,,Agassiz,Mabel,,,,,,lcnaf
"Ahern, Richard D.",,,Ahern,Richard D,,,,,,lcnaf
"Aherne, Brian.",,,Aherne,Brian,,,,,http://id.loc.gov/authorities/names/n85138108,lcnaf
"Ahmad, Eqbal.",,,Ahmad,Eqbal,,,,,http://id.loc.gov/authorities/names/n85813028,lcnaf
"Ahrens, Henry.",,,Ahrens,Henry,,,,,,lcnaf
"Ailey, Alvin.",,,Ailey,Alvin,,,,,http://id.loc.gov/authorities/names/n92006465,lcnaf
"Akil, H. Huda.",,,Akil,H. Huda,,,,,http://id.loc.gov/authorities/names/n87894814,lcnaf
"Alawan, Charles Khalil.",,,Alawan,Charles Khalil,,,,,,lcnaf
"Alawan, Raad.",,,Alawan,Raad,,,,,,lcnaf
"Albright, William.",,,Albright,William,,,,,,lcnaf
"Aldrich, Frederick A.",,,Aldrich,Frederick A,,,,,,lcnaf
"Aldrich, J. Frank.",,,Aldrich,J. Frank,,,,,,lcnaf
"Aldrich, R. J.",,,Aldrich,R. J,,,,,,lcnaf
"Aldridge, John W.",,,Aldridge,John W,,,,,,lcnaf
"Alexander, Michael T.",,,Alexander,Michael T,,,,,,lcnaf
"Allan, Virginia R.",,,Allan,Virginia R,,,,,,lcnaf
"Allen, Ada.",,,Allen,Ada,,,,,,lcnaf
"Allen, Ann Isabella Barry.",,,Allen,Ann Isabella Barry,,,,,,lcnaf
"Allen, D. C.",,,Allen,D. C,,,,,,lcnaf
"Allen, Elizabeth A.",,,Allen,Elizabeth A,,,,,,lcnaf
"Allen, Elizabeth Howell.",,,Allen,Elizabeth Howell,,,,,,lcnaf
"Allen, Francis A.",,,Allen,Francis A,,,,,,lcnaf
"Allen, Knatarsha.",,,Allen,Knatarsha,,,,,,lcnaf
"Allen, Marilyn R.",,,Allen,Marilyn R,,,,,http://id.loc.gov/authorities/names/n89607523,lcnaf
"Allen, Mildred.",,,Allen,Mildred,,,,,http://id.loc.gov/authorities/names/no93002049,lcnaf
"Allen, Z. E.",,,Allen,Z. E,,,,,,lcnaf
"Allinson, Brent Dow.",,,Allinson,Brent Dow,,,,,,lcnaf
"Allmendinger, Ina.",,,Allmendinger,Ina,,,,,,lcnaf
"Allmendinger, Martin.",,,Allmendinger,Martin,,,,,,lcnaf
"Allstorm, Oliver.",,,Allstorm,Oliver,,,,,http://id.loc.gov/authorities/names/no2011175387,lcnaf
"Alvarado Mendoza, Arturo.",,,Alvarado Mendoza,Arturo,,,,,http://id.loc.gov/authorities/names/n87892248,lcnaf
"Alvord, Henry J.",,,Alvord,Henry J,,,,,,lcnaf
"Amberg, David.",,,Amberg,David,,,,,,lcnaf
"Ames, Dewey.",,,Ames,Dewey,,,,,http://id.loc.gov/authorities/names/no2012147597,lcnaf
"Ammann, Michael S.",,,Ammann,Michael S,,,,,,lcnaf
"Amory, Cleveland.",,,Amory,Cleveland,,,,,http://id.loc.gov/authorities/names/n79112392,lcnaf
"Amos, Earl V.",,,Amos,Earl V,,,,,,lcnaf
"Amper, Arcadio.",,,Amper,Arcadio,,,,,,lcnaf
"Andaya, Herman.",,,Andaya,Herman,,,,,,lcnaf
"Anderson, Belle Douglass.",,,Anderson,Belle Douglass,,,,,,lcnaf
"Anderson, Charles F.",,,Anderson,Charles F,,,,,,lcnaf
"Anderson, Mary Douglass.",,,Anderson,Mary Douglass,,,,,,lcnaf
"Anderson, N. Charles.",,,Anderson,N. Charles,,,,,,lcnaf
"Anderson, William J.",,,Anderson,William J,,,,,,lcnaf
"Andrewes, C. H., (Christopher Howard), c Sir.",,,Andrewes,C. H.,,,Christopher Howard,,http://id.loc.gov/authorities/names/n50022516,lcnaf
"Andrews, Ernest Oliver.",,,Andrews,Ernest Oliver,,,,,,lcnaf
"Andrews, Harold F.",,,Andrews,Harold F,,,,,,lcnaf
"Angelo, Frank.",,,Angelo,Frank,,,,,,lcnaf
"Angus, David L.",,,Angus,David L,,,,,http://id.loc.gov/authorities/names/n99005909,lcnaf
"Anthony, Edward.",,,Anthony,Edward,,,,,,lcnaf
"Applegate, Albert A.",,,Applegate,Albert A,,,,,,lcnaf
"Applegate, Harriet Marie.",,,Applegate,Harriet Marie,,,,,,lcnaf
"Aprill, Theophil.",,,Aprill,Theophil,,,,,,lcnaf
"Araneta, Salvador.",,,Araneta,Salvador,,,,,,lcnaf
"Archer, Dennis.",,,Archer,Dennis,,,,,,lcnaf
"Ardrey, William C.",,,Ardrey,William C,,,,,http://id.loc.gov/authorities/names/no99004731,lcnaf
"Arendt, Hannah.",,,Arendt,Hannah,,,,,,lcnaf
"Arens, Richard.",,,Arens,Richard,,,,,,lcnaf
"Arkins, Edwin L.",,,Arkins,Edwin L,,,,,,lcnaf
"Armour, Norman.",,,Armour,Norman,,,,,,lcnaf
"Armstrong, Harriet Seymour.",,,Armstrong,Harriet Seymour,,,,,,lcnaf
"Arndt, Albert F. R.",,,Arndt,Albert F. R,,,,,,lcnaf
"Arnheim, Rudolf.",,,Arnheim,Rudolf,,,,,http://id.loc.gov/authorities/names/n79071254,lcnaf
"Arnold, Jennie Waterman.",,,Arnold,Jennie Waterman,,,,,,lcnaf
"Arnold, Keith.",,,Arnold,Keith,,,,,,lcnaf
"Arnold, Orlan.",,,Arnold,Orlan,,,,,,lcnaf
"Arnold, Virginia Safford.",,,Arnold,Virginia Safford,,,,,,lcnaf
"Arnori, M. S.",,,Arnori,M. S,,,,,,lcnaf
"Asher, Court.",,,Asher,Court,,,,,http://id.loc.gov/authorities/names/n91091331,lcnaf
"Ashley, H. W.",,,Ashley,H. W,,,,,,lcnaf
"Ashrawi, Hanan.",,,Ashrawi,Hanan,,,,,,lcnaf
"Askren, D. L.",,,Askren,D. L,,,,,,lcnaf
"Aswad, Barbara C.",,,Aswad,Barbara C,,,,,http://id.loc.gov/authorities/names/nr95026222,lcnaf
"Atkins, Daniel E. (Daniel Ewell)",,,Atkins,Daniel E.,,,Daniel Ewell,,http://id.loc.gov/authorities/names/nr92016868,lcnaf
"Atkinson, William F.",,,Atkinson,William F,,,,,,lcnaf
"Attwood, Charles.",,,Attwood,Charles,,,,,,lcnaf
"Atwell, Helen M.",,,Atwell,Helen M,,,,,,lcnaf
"Auperle, Eric M.",,,Auperle,Eric M,,,,,,lcnaf
"Aupperle, Eric M.",,,Aupperle,Eric M,,,,,http://id.loc.gov/authorities/names/nr92016715,lcnaf
"Austin, Carolyn.",,,Austin,Carolyn,,,,,,lcnaf
"Austin, Judson L.",,,Austin,Judson L,,,,,,lcnaf
"Autrey-Hunley, Carolyn.",,,Autrey-Hunley,Carolyn,,,,,,lcnaf
"Avery, Noyes L.",,,Avery,Noyes L,,,,,,lcnaf
"Avery, Waldo A.",,,Avery,Waldo A,,,,,,lcnaf
