ORIGINAL,uri
"Allen, D. C., collector.",/agents/people/2
"Barnett, Leroy, collector.",/agents/people/3
"Blum, Nancy, collector",/agents/people/4
"Breylinger, Barbe Ballard, collector.",/agents/people/5
"Burt, Flora, collector.",/agents/people/6
"Chaplin, Scott, collector.",/agents/people/7
"Cope, Helen Gibson, collector",/agents/people/8
"De La Vergne, Earl W., collector.",/agents/people/9
"Fay, Minnie C. M., collector.",/agents/people/10
"Foster, Mark, collector.",/agents/people/11
"Frederickson, Randa, collector.",/agents/people/12
"Frisbie, Nora G., collector.",/agents/people/13
"Harriman, John, collector.",/agents/people/14
"Heath, Alex, collector.",/agents/people/15
"Knowles, Margaret Keal, collector.",/agents/people/16
"Lemmer, Elizabeth, collector.",/agents/people/17
"Leslie, Dale R., collector",/agents/people/18
"Loughray, John J., collector",/agents/people/19
"Martin, Edward, collector.",/agents/people/20
"Mullett, Martha, collector.",/agents/people/21
"Owen, Norman G., collector.",/agents/people/22
"Palazzolo, Laurie, collector.",/agents/people/23
"Peters, Kenneth Earl, collector.",/agents/people/24
"Proctor, Hazel, collector.",/agents/people/25
"Shurtleff, Mary Belle, collector",/agents/people/26
"Sink, Charles A., collector.",/agents/people/27
"Sturgis, Sam, collector",/agents/people/28
"Swihart, Leon R., collector.",/agents/people/29
"Tsao, Makepeace Uho, collector",/agents/people/30
"Wolfe, Shirley P., collector.",/agents/people/31
"Blodgett, John W., Jr.",/agents/people/32
"Cockrel, Kenneth, Jr.",/agents/people/33
"King, Martin Luther, Jr.",/agents/people/34
"Lloyd, William B., Jr.",/agents/people/35
"Price, William George, Jr.",/agents/people/36
"Riegle, Donald W., Jr.",/agents/people/37
"Smith, Charles S. (Charles Spencer), Jr.",/agents/people/38
"Saint Lusson, Simon François Daumont, sieur de, fl. 17th cent.",/agents/people/39
"Kessenich, Michiels van, baron.",/agents/people/40
"Bonnaud, A., Madame.",/agents/people/41
Anonymous officer of the Association of Suburban People.,/agents/people/42
"Gordon, Archibald, Sir.",/agents/people/43
"Baker, Frank C., Mrs.",/agents/people/44
"Ehlers, John, Mrs.",/agents/people/45
"Hartzell, Morton C., Mrs.",/agents/people/46
"Keeler, Hugh Blenn, Mrs.",/agents/people/47
"Lanier, Charles D., Mrs.",/agents/people/48
"McCoy, Robbie, Mrs.",/agents/people/49
"Pope, Ira Greer, Mrs.",/agents/people/50
"Stanley, David, Mrs.",/agents/people/51
"Taylor, Howell, Mrs.",/agents/people/52
"Walker, Chester, Mrs.",/agents/people/53
"Williams, G. Mennen, Mrs.",/agents/people/54
"Abbitt, W. H.",/agents/people/55
"Abbott, Bud.",/agents/people/56
"Abbott, Donald Putnam.",/agents/people/57
"Abbott, James.",/agents/people/58
"Abdel-Massih, Ernest T.",/agents/people/59
"Aberbach, Joel D.",/agents/people/60
"Abraham, Nabeel.",/agents/people/61
"Abrams, Alan E.",/agents/people/62
"Abu Ayn, Ziyad.",/agents/people/63
"Acheson, Phyllis.",/agents/people/64
"Ackley, Gardner.",/agents/people/65
"Acton, Hugh.",/agents/people/66
"Adams, Adeline B.",/agents/people/67
"Adams, Bertha H. Wright.",/agents/people/68
"Adams, Elizabeth S.",/agents/people/69
"Adams, Evyn.",/agents/people/70
"Adams, Henry Foster.",/agents/people/71
"Adams, James Patrick.",/agents/people/72
"Adams, Jayno W.",/agents/people/73
"Adams, R. C.",/agents/people/74
"Adams, Wilbur Christopher.",/agents/people/75
"Adamson, Thomas Charles.",/agents/people/76
"Adamus, Greg.",/agents/people/77
"Adenauer, Paul.",/agents/people/78
"Adler, Morris.",/agents/people/79
"Adler, O.",/agents/people/80
"Agasid, Napoleon.",/agents/people/81
"Agassiz, Mabel.",/agents/people/82
"Ahern, Richard D.",/agents/people/83
"Aherne, Brian.",/agents/people/84
"Ahmad, Eqbal.",/agents/people/85
"Ahrens, Henry.",/agents/people/86
"Ailey, Alvin.",/agents/people/87
"Akil, H. Huda.",/agents/people/88
"Alawan, Charles Khalil.",/agents/people/89
