Poetry,"['topical', 'genre_form']",genre_form
Universities and colleges,"['topical', 'geographic']",topical
"Blue Water Bridge (Port Huron, Mich. and Sarnia, Ont.)","['topical', 'geographic']",geographic
Chicago,"['geographic', 'topical']",geographic
Ann Arbor (Mich.),"['geographic', 'topical']",geographic
Landscape architecture,"['topical', 'geographic']",topical
Tourism,"['topical', 'geographic']",topical
New York (State),"['geographic', 'topical']",geographic
Military camps,"['geographic', 'topical']",topical
Diaries,"['genre_form', 'topical']",genre_form
Architectural drawings (visual works),"['genre_form', 'topical']",genre_form
Michigan,"['geographic', 'topical', 'temporal']",geographic
Southern states,"['geographic', 'topical']",geographic
Designs and plans,"['genre_form', 'topical']",genre_form
Street-railroads,"['topical', 'geographic']",topical
Religious aspects,"['topical', 'geographic']",topical
Middle East,"['topical', 'geographic']",geographic
Cadillac (Mich.),"['geographic', 'topical']",geographic
Great Lakes Region,"['geographic', 'topical']",geographic
Social conditions,"['geographic', 'topical']",topical
Sound recordings,"['genre_form', 'topical']",genre_form
Motion pictures,"['genre_form', 'geographic', 'topical']",genre_form
Parades and processions,"['topical', 'geographic']",topical
Bookstores,"['topical', 'geographic']",topical
Advertising,"['topical', 'genre_form']",topical
University of Michigan,"['topical', 'geographic']",topical
Aerial photographs,"['genre_form', 'topical']",genre_form
Historic buildings,"['topical', 'geographic']",topical
Scores and parts,"['topical', 'genre_form']",genre_form
Paintings,"['genre_form', 'topical']",genre_form
Boats,"['topical', 'geographic']",topical
"Societies, etc","['geographic', 'topical', 'temporal']",topical
Upper Peninsula (Mich.),"['geographic', 'topical']",geographic
German Americans,"['topical', 'geographic']",topical
Photographs,"['genre_form', 'topical']",genre_form
Middle West,"['geographic', 'topical']",genre_form
Parades,"['topical', 'genre_form']",topical
Medals,"['genre_form', 'topical']",topical
Panoramic views,"['genre_form', 'topical']",genre_form
1929-1933,"['temporal', 'topical']",temporal
Photograph albums,"['genre_form', 'topical']",genre_form
Group portraits,"['topical', 'genre_form']",genre_form
Biochemistry,"['topical', 'geographic']",topical
Scholarly periodicals,"['genre_form', 'topical']",topical
Law and legislation,"['topical', 'geographic']",topical
Love letters,"['genre_form', 'topical']",genre_form
Medicine,"['topical', 'geographic']",topical
Grand Rapids (Mich.),"['geographic', 'topical']",geographic
Korea,"['geographic', 'topical']",geographic
Architectural drawings,"['genre_form', 'topical']",genre_form
Illinois,"['geographic', 'topical']",geographic
Landscape architectural drawings,"['topical', 'genre_form']",genre_form
Battle Creek,"['geographic', 'topical']",geographic
Women,"['topical', 'geographic']",topical
Washington (D.C.),"['geographic', 'topical']",geographic
Oakland County (Mich.),"['geographic', 'topical']",geographic
Societies and clubs,"['topical', 'geographic']",topical
Cemeteries,"['topical', 'geographic']",topical
Central America,"['geographic', 'topical']",geographic
Student aid,"['topical', 'geographic']",topical
Music,"['topical', 'genre_form']",topical
Records and correspondence,"['topical', 'genre_form']",genre_form
