Name,LCNAF Heading,LC Record Link
"Abbot, Waldo, 1888-","Abbot, Waldo, 1888-",http://id.loc.gov/authorities/names/no97066767
"Abbot, Willis J. (Willis John), 1863-1934.","Abbot, Willis J. (Willis John), 1863-1934",http://id.loc.gov/authorities/names/n89605398
"Abbott, Donald Putnam.","Abbott, Donald Putnam",http://id.loc.gov/authorities/names/n81042314
"Abbott, Horatio J. (Horatio Johnson), 1876-","Abbott, Horatio J. (Horatio Johnson), 1876-1936",http://id.loc.gov/authorities/names/no2008182920
"Abdel-Massih, Ernest T.","Abdel-Massih, Ernest T.",http://id.loc.gov/authorities/names/n50034811
"Abel, John Jacob, 1857-1938.","Abel, John Jacob, 1857-1938",http://id.loc.gov/authorities/names/n82108754
"Abrams, Alan E.","Abrams, Alan E.",http://id.loc.gov/authorities/names/n79036572
"Abrams, G. D. (Gerald David), 1932-","Abrams, G. D. (Gerald David), 1932-",http://id.loc.gov/authorities/names/nr92042288
"Acheson, Dean, 1893-1971.","Acheson, Dean, 1893-1971",http://id.loc.gov/authorities/names/n79043447
"Ackley, Gardner.","Ackley, Gardner",http://id.loc.gov/authorities/names/n50036889
"Adams, Brooks, 1848-1927.","Adams, Brooks, 1848-1927",http://id.loc.gov/authorities/names/n50036834
"Adams, Charles Kendall, 1835-1902.","Adams, Charles Kendall, 1835-1902",http://id.loc.gov/authorities/names/n87145383
"Adams, Elizabeth S.","Adams, Elizabeth Stovall",http://id.loc.gov/authorities/names/n84083073
"Adams, Ephraim, 1818-1907.","Adams, Ephraim, 1818-1907",http://id.loc.gov/authorities/names/n88616373
"Adams, Ephraim Douglass, 1865-1930.","Adams, Ephraim Douglass, 1865-1930",http://id.loc.gov/authorities/names/n92098170
"Adams, Fred Winslow, 1866-1945.","Adams, Fred Winslow, 1866-1945",http://id.loc.gov/authorities/names/no2010017101
"Adams, Henry C. (Henry Carter), 1851-1921.","Adams, Henry C. (Henry Carter), 1851-1921",http://id.loc.gov/authorities/names/n50036849
"Adams, Henry Carter, 1851-1921.","Adams, Henry C. (Henry Carter), 1851-1921",http://id.loc.gov/authorities/names/n50036849
"Adams, Herbert Baxter, 1850-1901.","Adams, Herbert Baxter, 1850-1901",http://id.loc.gov/authorities/names/n50036850
"Adams, James Truslow, 1878-1949.","Adams, James Truslow, 1878-1949",http://id.loc.gov/authorities/names/n50036853
"Adams, Randolph Greenfield, 1892-1951.","Adams, Randolph Greenfield, 1892-1951",http://id.loc.gov/authorities/names/n89613731
"Adams, Sherman, 1899-1986.","Adams, Sherman, 1899-1986",http://id.loc.gov/authorities/names/n81005141
"Adams, Walter Sydney, 1876-1956.","Adams, Walter S. (Walter Sydney), 1876-1956",http://id.loc.gov/authorities/names/no96049328
"Adamson, Thomas Charles.","Adamson, Thomas Charles",http://id.loc.gov/authorities/names/n81019954
"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935",http://id.loc.gov/authorities/names/n79104234
"Addes, George F., 1910-","Addes, George F., 1910-",http://id.loc.gov/authorities/names/n91001033
"Adler, Julius Ochs, 1892-1955.","Adler, Julius Ochs, 1892-1955",http://id.loc.gov/authorities/names/no2008130480
"Adler, Morris.","Adler, Morris",http://id.loc.gov/authorities/names/nr89010045
"Agassiz, Alexander, 1835-1910.","Agassiz, Alexander, 1835-1910",http://id.loc.gov/authorities/names/n87149270
"Agnew, John Holmes, 1804-1865.","Agnew, John Holmes, 1804-1865",http://id.loc.gov/authorities/names/nr92025505
"Agnew, Spiro T., 1918-","Agnew, Spiro T., 1918-1996",http://id.loc.gov/authorities/names/n79081960
"Agnew, Spiro T., 1918-1996.","Agnew, Spiro T., 1918-1996",http://id.loc.gov/authorities/names/n79081960
"Aguinaldo, Emilio, 1869-1964.","Aguinaldo, Emilio, 1869-1964",http://id.loc.gov/authorities/names/n50040351
"Ahmad, Eqbal.","Ahmad, Eqbal",http://id.loc.gov/authorities/names/n85813028
"Ahrens, Henry.","Ahrens, Heinrich, 1808-1874",http://id.loc.gov/authorities/names/n94041189
"Aigler, Ralph W. (Ralph William), 1885-","Aigler, Ralph W. (Ralph William), 1885-",http://id.loc.gov/authorities/names/nr97027687
"Aiken, George D. (George David), 1892-1984.","Aiken, George D. (George David), 1892-1984",http://id.loc.gov/authorities/names/n50033589
"Ailey, Alvin.","Ailey, Alvin",http://id.loc.gov/authorities/names/n92006465
"Aked, Charles Frederic, 1864-1941.","Aked, Charles F. (Charles Frederic), 1864-1941",http://id.loc.gov/authorities/names/n88679651
"Albert, Carl Bert, 1908-","Albert, Carl Bert, 1908-2000",http://id.loc.gov/authorities/names/n50035395
"Albright, Horace M. (Horace Marden), 1890-1987.","Albright, Horace M. (Horace Marden), 1890-1987",http://id.loc.gov/authorities/names/n50040185
"Albright, William.","Albright, William Foxwell, 1891-1971",http://id.loc.gov/authorities/names/n50041030
"Albright, William Foxwell, 1891-1971.","Albright, William Foxwell, 1891-1971",http://id.loc.gov/authorities/names/n50041030
"Alden, John Richard, 1908-","Alden, John Richard, 1908-1991",http://id.loc.gov/authorities/names/n79102865
"Aldrich, Cyrus, 1808-1871.","Aldrich, Cyrus, 1808-1871",http://id.loc.gov/authorities/names/n2004115531
"Aldrich, Frederick A.","Aldrich, Frederick A., 1927-1991",http://id.loc.gov/authorities/names/no2013106516
"Aldrich, Nelson W. (Nelson Wilmarth), 1841-1915.","Aldrich, Nelson W. (Nelson Wilmarth), 1841-1915",http://id.loc.gov/authorities/names/no89019687
"Alexander, Robert, 1945-","Freidin, Robert",http://id.loc.gov/authorities/names/n90709932
"Alger, Frederick Moulton, 1876-1933.","Alger, Frederick M. (Frederick Moulton), 1876-1933",http://id.loc.gov/authorities/names/no2008190062
"Alger, Frederick Moulton, 1907-1967.","Alger, Frederick M. (Frederick Moulton), 1907-1967",http://id.loc.gov/authorities/names/no2008190043
"Alger, R. A. (Russell Alexander), 1836-1907.","Alger, R. A. (Russell Alexander), 1836-1907",http://id.loc.gov/authorities/names/n81099052
"Allen, D. C.","Allen, Joan, 1956-",http://id.loc.gov/authorities/names/n96035257
"Allen, Edward Payson, 1839-1909.","Allen, Mr. (Edward Payson), 1839-1909",http://id.loc.gov/authorities/names/no95049046
"Allen, Francis A.","Riddell, Francis A.",http://id.loc.gov/authorities/names/n92032925
"Allen, Fred, 1894-1956.","Allen, Fred, 1894-1956",http://id.loc.gov/authorities/names/n80139303
"Allen, Henry T. (Henry Tureman), 1859-1930.","Allen, Henry T. (Henry Tureman), 1859-1930",http://id.loc.gov/authorities/names/n85062962
"Allen, John, 1796-1851.","Allen, John, 1796-1851",http://id.loc.gov/authorities/names/n88252325
"Allen, Richard, 1760-1831.","Allen, Richard, 1760-1831",http://id.loc.gov/authorities/names/n82078023
"Allen, Rolland Craten, 1881-1948.","Allen, R. C. (Rolland Craten), 1881-1948",http://id.loc.gov/authorities/names/no2008188990
"Allinson, Brent Dow.","Allinson, Brent D. (Brent Dow)",http://id.loc.gov/authorities/names/n90698902
"Allison, Bob, 1934-","Allison, Bob, 1934-1995",http://id.loc.gov/authorities/names/n85120053
"Allison, William B. (William Boyd), 1829-1908.","Allison, William B. (William Boyd), 1829-1908",http://id.loc.gov/authorities/names/n88070988
"Allon, Yigal 1918-1980.","Allon, Yigal, 1918-1980",http://id.loc.gov/authorities/names/n80014371
"Allport, Gordon W. (Gordon Willard), 1897-1967.","Allport, Gordon W. (Gordon Willard), 1897-1967",http://id.loc.gov/authorities/names/n79044016
"Altgeld, John Peter, 1847-1902.","Altgeld, John Peter, 1847-1902",http://id.loc.gov/authorities/names/n50021477
"Altmeyer, Arthur Joseph, 1891-1972.","Altmeyer, Arthur J. (Arthur Joseph), 1891-1972",http://id.loc.gov/authorities/names/no95016988
"Alvarado Mendoza, Arturo.","Alvarado Mendoza, Arturo",http://id.loc.gov/authorities/names/n87892248
"Amberg, David.","Amberg, David C.",http://id.loc.gov/authorities/names/n2004124521
"Ames, Dewey.","Ames, Dewey",http://id.loc.gov/authorities/names/no2012147597
"Amory, Cleveland.","Amory, Cleveland",http://id.loc.gov/authorities/names/n79112392
"Anderson, Jack Northman, 1922-","Anderson, Jack, 1922-2005",http://id.loc.gov/authorities/names/n79084441
"Anderson, John Bayard, 1922-","Anderson, John Bayard, 1922-",http://id.loc.gov/authorities/names/n50021916
"Anderson, N. Charles.","Anderson, Charles Palmerston, 1863-1930",http://id.loc.gov/authorities/names/no92032615
"Anderson, Susan, 1870-1960.","Anderson, Susan, 1870-1960",http://id.loc.gov/authorities/names/n91105665
"Anderson, William J.","Anderson, William J. (William James), 1864-1900",http://id.loc.gov/authorities/names/n85305155
"Andrewes, C. H., (Christopher Howard), c Sir.","Andrewes, C. H. (Christopher Howard), Sir",http://id.loc.gov/authorities/names/n50022516
"Andrews, Charles McLean, 1863-1943.","Andrews, Charles McLean, 1863-1943",http://id.loc.gov/authorities/names/n50041619
"Angell, Alexis C. (Alexis Caswell), 1857-1932.","Angell, Alexis C. (Alexis Caswell), 1857-1932",http://id.loc.gov/authorities/names/n88002045
"Angell, James Burrill, 1829-1916.","Angell, James Burrill, 1829-1916",http://id.loc.gov/authorities/names/no90002065
"Angell, James Rowland, 1869-1949.","Angell, James Rowland, 1869-1949",http://id.loc.gov/authorities/names/no97001042
"Angell, Robert Cooley, 1899-","Angell, Robert Cooley, 1899-1984",http://id.loc.gov/authorities/names/n80015416
"Angelo, Frank.","D'Angelo, Frank J.",http://id.loc.gov/authorities/names/n80007846
"Angus, David L.","Angus, David L.",http://id.loc.gov/authorities/names/n99005909
"Anthony, Edward.","Mackenzie, Compton, 1883-1972",http://id.loc.gov/authorities/names/n79071096
"Anthony, Edward Mason, 1922-","Anthony, Edward Mason, 1922-",http://id.loc.gov/authorities/names/n50021295
"Anthony, Susan B. (Susan Brownell), 1820-1906.","Anthony, Susan B. (Susan Brownell), 1820-1906",http://id.loc.gov/authorities/names/n82096260
"Arendt, Hannah.","Arendt, Hannah, 1906-1975",http://id.loc.gov/authorities/names/n50023617
"Ariens Kappers, Cornelius Ubbo, 1877-1946.","Ariëns Kappers, C. U. (Cornelius Ubbo), 1877-1946",http://id.loc.gov/authorities/names/no2001019150
"Armstrong, Hamilton Fish, 1893-","Armstrong, Hamilton Fish, 1893-1973",http://id.loc.gov/authorities/names/n50001856
"Armstrong, Louis, 1900-1971.","Armstrong, Louis, 1901-1971",http://id.loc.gov/authorities/names/n50001506
"Arnow, Harriette Louisa Simpson, 1908-1986.","Arnow, Harriette Louisa Simpson, 1908-1986",http://id.loc.gov/authorities/names/n50002199
"Arthur, Chester Alan, 1829-1886.","Arthur, Chester Alan, 1829-1886",http://id.loc.gov/authorities/names/n50002601
"Ashley, H. W.","Ashley, William Henry, 1778-1838",http://id.loc.gov/authorities/names/n79099256
